Year,Season,City of Residence,Trip ID,Origin,Destination,International/Domestic,Number of Travelling Companions,Distance,Mode of Travel,Type of Location,Purpose,Duration (days),Events,Excitement (1-10)
2005,Fall,Calcutta,1,Calcutta,Delhi,D,5,,Train,City,Family,2,,
2005,Fall,Calcutta,1,Delhi,Gurgaon,D,5,,Car,City,Family,4,,
2006,Summer,Calcutta,2,Calcutta,Sivakasi,D,2,,Train,Town,Family,21,,
2006,Fall,Calcutta,3,Calcutta,Siliguri,D,20,,Train,Town,Trekking,2,,
2006,Fall,Calcutta,3,Siliguri,Tumling,D,20,,Car,Mountains,Trekking,4,,
2006,Fall,Calcutta,3,Tumling,Gorumara,D,20,,Bus,Mountains,Trekking,,,
2007,Summer,Calcutta,4,Calcutta,Chennai,D,3,,Train,City,Family,,,
2007,Summer,Calcutta,4,Chennai,Sivakasi,D,3,,Train,Town,Family,,,
2007,Fall,Calcutta,5,Calcutta,Panchlingeshwar,D,20,,Train,Mountains,Trekking,,,
2007,Summer,Calcutta,6,Calcutta,Bombay,D,0,,Flight,City,Family,,,
2008,Winter,Calcutta,7,Calcutta,Delhi,D,20,,Train,City,Sightseeing,,,
2008,Winter,Calcutta,7,Delhi,Agra,D,20,,Bus,Town,Sightseeing,,,
2008,Summer,Calcutta,8,Calcutta,Chennai,D,0,,Flight,City,Family,,,
2008,Summer,Calcutta,8,London,Los Angeles,I,0,,Flight,City,Sightseeing/ Family,,,
2008,Summer,Calcutta,8,Los Angeles,Hollywood,I,0,,Car,City,Sightseeing/ Family,,,
2008,Summer,Calcutta,8,Chennai,London,I,0,,Flight,City,Sightseeing/ Family,,,
2008,Summer,Calcutta,8,Santa Barbara,San Jose,I,0,,Car,City,Sightseeing/ Family,,,
2008,Summer,Calcutta,8,Los Angeles,Santa Barbara,I,0,,Car,City,Sightseeing/ Family,,,
2009,Summer,Calcutta,9,Calcutta,Singapore,I,3,,Flight,City,Sightseeing,,,
2009,Summer,Calcutta,9,Singapore,Bangkok,I,3,,Flight,City,Sightseeing,,,
2009,Summer,Calcutta,9,Bangkok,Pattaya,I,3,,Train,Beach,Sightseeing,,,
2010,Summer,Calcutta,10,Calcutta,Darjeeling,D,10,,Train,Mountains,Trekking,,,
2010,Summer,Calcutta,10,Darjeeling,Sandakphu,D,10,,Car,Mountains,Trekking,,,
2010,Fall,Calcutta,11,Calcutta,Panchlingeshwar,D,15,,Train,Mountains,Trekking,,,
2010,Fall,Calcutta,12,Calcutta,Bombay,D,0,,Flight,City,Family,,,
2010,Summer,Calcutta,12,Calcutta,Chennai,D,3,,Flight,City,College,,,
2011,Fall,Chennai,14,Chennai,Calcutta,D,0,,Flight,City,Family,,,
2011,Winter,Chennai,15,Chennai,Bangalore,D,0,,Train,City,Conference,,,
2011,Winter,Chennai,16,Chennai,Ooty,D,35,,Train,Mountains,Sightseeing,,,
2011,Summer,Chennai,17,Chennai,Goa,D,6,,Flight,beach,Sightseeing,,,
2011,Summer,Chennai,18,Chennai,Mahaballipuram,D,25,,Bus,beach,Conference,,,
2011,Fall,Chennai,19,Chennai,Bombay,D,0,,Flight,City,Family,,,
2012,Winter,Chennai,20,Calcutta,Sunderbans,D,25,,Ferry,Village,Sightseeing,,,
2012,Winter,Chennai,20,Chennai,Calcutta,D,0,,Flight,City,Family,,,
2012,Summer,Chennai,21,Kuala Lumpur,Bangkok,I,3,,Flight,City,Sightseeing,,,
2012,Summer,Chennai,21,Bangkok,Penang,I,3,,Flight,Mountains,Sightseeing,,,
2012,Summer,Chennai,21,Bangkok,Phuket,I,3,,Train,beach,Sightseeing,,,
2012,Summer,Chennai,21,Calcutta,Kuala Lumpur,I,3,,Flight,City,Sightseeing,,,
2012,Fall,Chennai,22,Chennai,Coimbatore,D,3,,Train,Town,Conference,,,
2012,Fall,Chennai,22,Coimbatore,Munnar,D,3,,Bus,Town,Sightseeing,,,
2013,Summer,Chennai,23,Chennai,Madurai,D,0,,Train,Town,Family,,,
2013,Summer,Chennai,23,Chennai,Sivakasi,D,0,,Train,Town,Family,,,
2013,Summer,Chennai,24,Chennai,Calcutta,D,0,,Flight,City,Family,,,
2013,Summer,Chennai,25,Calcutta,Bombay,D,0,,Train,City,College,,,
2014,Winter,Bombay,26,Bombay,Elephanta,D,7,,Ferry,Caves,Sightseeing,,,
2014,Summer,Bombay,27,Bombay,Chennai,D,1,,Flight,City,Family,,,
2014,Fall,Bombay,28,Bombay,Lonavala,D,5,,Bus,Town,Sightseeing,,,
