Year,Season,City of Residence,Trip ID,Origin,Destination,International/Domestic,Number of Travelling Companions,Distance by road,Distance by flight,Mode of Travel,Type of Location,Purpose,Duration (days),Events,Excitement (1-10)
2005,Fall,Calcutta,1,Calcutta,Delhi,D,5,1306,1484,Train,City,Family,2,,
2005,Fall,Calcutta,1,Delhi,Gurgaon,D,5,30,36,Car,City,Family,4,,
2006,Summer,Calcutta,2,Calcutta,Sivakasi,D,2,1845,2198,Train,Town,Family,21,,
2006,Fall,Calcutta,3,Calcutta,Siliguri,D,20,462,558,Train,Town,Trekking,2,,
2006,Fall,Calcutta,3,Siliguri,Tumling,D,20,47,106,Car,Mountains,Trekking,4,,
2006,Fall,Calcutta,3,Tumling,Gorumara,D,20,79,172,Bus,Mountains,Trekking,2,,
2007,Summer,Calcutta,4,Calcutta,Chennai,D,3,1360,1670,Train,City,Family,1,,
2007,Summer,Calcutta,4,Chennai,Sivakasi,D,3,486,540,Train,Town,Family,20,,
2007,Fall,Calcutta,5,Calcutta,Panchlingeshwar,D,20,211,273,Train,Mountains,Trekking,5,,
2007,Summer,Calcutta,6,Calcutta,Bombay,D,0,1657,2053,Flight,City,Family,8,,
2008,Winter,Calcutta,7,Calcutta,Delhi,D,20,1306,1484,Train,City,Sightseeing,3,,
2008,Winter,Calcutta,7,Delhi,Agra,D,20,182,213,Bus,Town,Sightseeing,3,,
2008,Summer,Calcutta,8,Calcutta,Chennai,D,0,1360,1670,Flight,City,Family,1,,
2008,Summer,Calcutta,8,London,Los Angeles,I,0,8765,,Flight,City,Sightseeing/ Family,1,,
2008,Summer,Calcutta,8,Los Angeles,Hollywood,I,0,9,10,Car,City,Sightseeing/ Family,2,,
2008,Summer,Calcutta,8,Chennai,London,I,0,8220,,Flight,City,Sightseeing/ Family,1,,
2008,Summer,Calcutta,8,Santa Barbara,San Jose,I,0,380,450,Car,City,Sightseeing/ Family,1,,
2008,Summer,Calcutta,8,Los Angeles,Santa Barbara,I,0,140,153,Car,City,Sightseeing/ Family,15,,
2009,Summer,Calcutta,9,Calcutta,Singapore,I,3,2897,5080,Flight,City,Sightseeing,4,,
2009,Summer,Calcutta,9,Singapore,Bangkok,I,3,1429,1853,Flight,City,Sightseeing,3,,
2009,Summer,Calcutta,9,Bangkok,Pattaya,I,3,101,149,Train,Beach,Sightseeing,1,,
2010,Summer,Calcutta,10,Calcutta,Darjeeling,D,10,497,615,Train,Mountains,Trekking,1,,
2010,Summer,Calcutta,10,Darjeeling,Sandakphu,D,10,27,84,Car,Mountains,Trekking,4,,
2010,Fall,Calcutta,11,Calcutta,Panchlingeshwar,D,15,211,273,Train,Mountains,Trekking,4,,
2010,Fall,Calcutta,12,Calcutta,Bombay,D,0,1657,2053,Flight,City,Family,10,,
2010,Summer,Calcutta,12,Calcutta,Chennai,D,3,1360,1670,Flight,City,College,1095,,
2011,Fall,Chennai,14,Chennai,Calcutta,D,0,1360,1670,Flight,City,Family,21,,
2011,Winter,Chennai,15,Chennai,Bangalore,D,0,291,347,Train,City,family,4,,
2011,Winter,Chennai,16,Chennai,Ooty,D,35,432,561,Train,Mountains,Sightseeing,3,,
2011,Summer,Chennai,17,Chennai,Goa,D,6,708,910,Flight,beach,Sightseeing,5,,
2011,Summer,Chennai,18,Chennai,Mahaballipuram,D,25,51,57,Bus,beach,Conference,2,,
2011,Fall,Chennai,19,Chennai,Bombay,D,0,1034,1334,Flight,City,Family,5,,
2012,Winter,Chennai,20,Calcutta,Sunderbans,D,25,109,,Ferry,Village,Sightseeing,3,,
2012,Winter,Chennai,20,Chennai,Calcutta,D,0,1360,1670,Flight,City,Family,21,,
2012,Summer,Chennai,21,Kuala Lumpur,Bangkok,I,3,1189,1490,Flight,City,Sightseeing,2,,
2012,Summer,Chennai,21,Bangkok,Penang,I,3,929,1173,Flight,Mountains,Sightseeing,3,,
2012,Summer,Chennai,21,Bangkok,Phuket,I,3,694,844,Train,beach,Sightseeing,2,,
2012,Summer,Chennai,21,Calcutta,Kuala Lumpur,I,3,2598,4718,Flight,City,Sightseeing,3,,
2012,Fall,Chennai,22,Chennai,Coimbatore,D,3,428,509,Train,Town,Conference,4,,
2012,Fall,Chennai,22,Coimbatore,Munnar,D,3,104,160,Bus,Town,Sightseeing,2,,
2013,Summer,Chennai,23,Chennai,Madurai,D,0,423,463,Train,Town,Family,1,,
2013,Summer,Chennai,23,Chennai,Sivakasi,D,0,486,540,Train,Town,Family,8,,
2013,Summer,Chennai,24,Chennai,Calcutta,D,0,1360,1670,Flight,City,Family,38,,
2013,Summer,Chennai,25,Calcutta,Bombay,D,0,1657,2053,Train,City,College,1095,,
2014,Winter,Bombay,26,Bombay,Elephanta,D,7,14,37,Ferry,Caves,Sightseeing,1,,
2014,Summer,Bombay,27,Bombay,Chennai,D,1,1034,1337,Flight,City,Family,3,,
2014,Fall,Bombay,28,Bombay,Lonavala,D,5,66,83,Bus,Town,Sightseeing,3,,
2014,Fall,Bombay,29,Bombay,Murud,D,28,83,156,Bus,Beach,Sightseeing,3,,
2014,Summer,Bombay,30,Bombay,Calcutta,D,0,1657,2053,Flight,City,Family,30,,
2014,Summer,Bombay,31,Calcutta,Chiang Mai,I,3,1616,3356,Flight,Town,Sightseeing,3,,
2014,Summer,Bombay,31,Chiang Mai,Bangkok,I,3,574,685,Flight,City,Sightseeing,3,,
2014,Fall,Bombay,32,Calcutta,Bangalore,D,0,1562,1859,Flight,City,Conference,3,,
2015,Fall,Bombay,33,Bombay,Mahaballeshwar,D,17,151,263,Ferry,Beach,Sightseeing,2,,
2015,Fall,Bombay,34,Bombay,Kashid,D,28,71,168,Bus,Beach,Sightseeing,3,,
2015,Summer,Bombay,35,Bombay,Calcutta,D,15,1657,2053,Flight,City,Family,15,,
2015,Summer,Bombay,36,Bombay,Sivakasi,D,15,1195,1489,Train,Town,Family,5,wedding,
2015,Summer,Bombay,36,Sivakasi,Kodaikanal,D,15,94,178,Bus,Mountains,Trekking,3,,
2015,Summer,Bombay,37,Bombay,Goa,D,6,441,587,Car,Beach,Sightseeing,5,,
2015,Fall,Bombay,38,Bombay,Hong Kong,I,1,4295,,Flight,City,Conference,1,,
2015,Fall,Bombay,38,Hong Kong,Los Angeles,I,1,11660,,Flight,City,Conference,5,,
2015,Fall,Bombay,38,Los Angeles,Santa Barbara,I,1,140,153,Car,City,Family,10,,
2015,Fall,Bombay,38,Santa Barbara,Santa Monica,I,1,120,148,Car,City,Sightseeing,1,,
2015,Fall,Bombay,38,Santa Barbara,Berkley,I,1,448,519,Car,City,Sightseeing,1,,
2016,Summer,Bombay,39,Calcutta,Siliguri,D,3,20,462,Train,Town,Sightseeing,1,,
2016,Summer,Bombay,39,Calcutta,Kurseong,D,3,480,587,Car,Mountains,Sightseeing,3,,
2016,Summer,Bombay,40,Bombay,Alibaug,D,6,47,95,Ferry,Beach,Sightseeing,3,,
2016,Summer,Bombay,41,Bombay,Ganapatiphule,D,29,219,343,Bus,Beach,Sightseeing,3,,
2016,Fall,Bombay,42,Bombay,Goa,D,11,441,587,Bus,Beach,Sightseeing,4,,
2016,Fall,Bombay,43,Goa,Bangalore,D,11,441,587,Flight,City,Family,2,,
2016,Fall,Bombay,44,Bangalore,Madurai,D,11,344,435,Train,Town,Family,2,,
2016,Fall,Bombay,44,Madurai,sivakasi,D,11,63,78,Train,Town,Family,3,,
2016,Winter,Bombay,45,Bombay,Lonavala,D,40,66,83,Bus,Mountains,Conference,3,,
2016,Winter,Bombay,46,Bombay,Chennai,D,0,1360,1670,Flight,City,Family,5,,
2016,Winter,Calcutta,47,Calcutta,Mandarmoni,D,5,127,178,Car,Beach,Sightseeing,3,,
2016,Winter,Calcutta,48,Calcutta,Mumbai,D,1,1657,2053,Flight,City,College,5,,
2016,Winter,Calcutta,49,Calcutta,Delhi,D,2,1306,1484,Flight,City,Sightseeing,2,,
2016,Winter,Calcutta,49,Delhi,Dharamshala,D,2,405,478,Bus,Town,Sightseeing,2,,
2016,Winter,Calcutta,49,Dharamshala,Palampur,D,2,23,38,Car,Village,Sightseeing,3,Wedding,
2016,Winter,Calcutta,49,Palampur,McLeodganj,D,2,25,42,Car,Town,Sightseeing,1,,
2017,Winter,Calcutta,50,Calcutta,Chennai,D,0,1360,1670,Flight,City,Family,2,,
2017,Winter,Calcutta,50,Chennai,Sivakasi,D,0,486,540,Train,Town,Family,4,,
2017,Winter,Calcutta,50,Sivakasi,Srivilliputtur,D,0,20,21,Car,Town,Family,3,,
2017,Summer,Calcutta,51,Calcutta,Ahmedabad,D,2,1621,2086,Flight,City,Interview,5,,
2017,Summer,Calcutta,51,Ahmedabad,Gandhinagar,D,2,23,26,Car,City,Sightseeing,1,,
2017,Summer,Calcutta,51,Ahmedabad,Mumbai,D,2,440,531,Flight,City,Family,3,,
2017,Summer,Calcutta,51,Mumbai,Bangalore,D,2,846,984,Flight,City,Interview,5,,
2017,Summer,Calcutta,52,Calcutta,Zurich,I,0,7443,,Flight,City,Sightseeing,4,,
2017,Summer,Calcutta,52,Zurich,Paris,I,0,488,654,Bus,City,Sightseeing,3,,
2017,Summer,Calcutta,52,Zurich,Basel,I,0,75,88,Train,City,Sightseeing,1,,
2017,Summer,Calcutta,52,Zurich,Berne,I,0,96,125,Train,City,Sightseeing,1,,
2017,Summer,Calcutta,52,Zurich,Lausanne,I,0,174,225,Train,City,Sightseeing,1,,
2017,Summer,Calcutta,52,Zurich,Milan,I,0,219,281,Bus,City,Sightseeing,1,,
2017,Summer,Calcutta,52,Milan,Pisa,I,0,216,278,Train,City,Sightseeing,3,,
2017,Summer,Calcutta,52,Pisa,Venice,I,0,254,,Train,City,Sightseeing,1,,
2017,Summer,Calcutta,52,Pisa,Florence,I,0,69,83,Train,City,Sightseeing,1,,
